id,name,genre,genre_number
1,アー ヴェ ヴェ,レディース,1
2,アーカー,レディース,1
3,アーキ,レディース,1
4,アークスタンダード,レディース,1
5,アークテリクス,レディース,1
6,アーサスベイプ,レディース,1
7,アージェントグリーム,レディース,1
8,アージュ ヴェール,レディース,1
9,アースミュージック&amp;エコロジー,レディース,1
10,アースメイド,レディース,1
11,アーツアンドクラフツ,レディース,1
12,アーツアンドサイエンス,レディース,1
13,アーティ ショ,レディース,1
14,アーティズ,レディース,1
15,アーテクルール,レディース,1
16,アーデム,レディース,1
17,アートヴィンテージ,レディース,1
18,アートブラウン,レディース,1
19,アーネスト ソーン,レディース,1
20,アーノット,レディース,1
21,アーノルドパーマー,レディース,1
22,アーノルド パーマー,レディース,1
23,アーノルド パーマー タイムレス,レディース,1
24,アーバー,レディース,1
25,アーバン アウトフィッターズ,レディース,1
26,アーバンボビー,レディース,1
27,アーバン リサーチ,レディース,1
28,アーバンリサーチアイディー,レディース,1
29,アーバンリサーチサニーレーベル,レディース,1
30,アーバンリサーチドアーズ,レディース,1
31,アーバンリサーチロッソ,レディース,1
32,アーベーセー アン フェイス,レディース,1
33,アー ペー セー,レディース,1
34,アームスセレクト,レディース,1
35,アームド,レディース,1
36,アーメン,レディース,1
37,アーモワールカプリス,レディース,1
38,アーモンド,レディース,1
39,アール アンド　イー,レディース,1
40,アールエヌエー,レディース,1
41,アールエヌエーエヌ,レディース,1
42,アールエヌエースラング,レディース,1
43,アールエフ,レディース,1
44,アールオーイー,レディース,1
45,アールケイオーバーシーズ,レディース,1
46,アールサーティーン,レディース,1
47,アール ジーン,レディース,1
48,アールジーンズ,レディース,1
49,アールディーズ,レディース,1
50,アールディールージュディアマン,レディース,1
51,アールピーエス,レディース,1
52,アールユー,レディース,1
53,アールユー ジーンズ,レディース,1
54,アールユー ノアール,レディース,1
55,アールワークス,レディース,1
56,アイ,レディース,1
57,アイアイエムケー,レディース,1
58,アイアムアイ,レディース,1
59,アイアムアイインファクト,レディース,1
60,アイアムアイボイガル,レディース,1
61,アイヴァン7285,レディース,1
62,アイエルバイサオリコマツ,レディース,1
63,アイグナー,レディース,1
64,アイコムデギャルソンジュンヤワタナベマン,レディース,1
65,アイザックセラム,レディース,1
66,アイザックセラムエクスペリエンス,レディース,1
67,アイザックミズラヒ,レディース,1
68,アイシービー,レディース,1
69,アイスー,レディース,1
70,アイスウォッチ,レディース,1
71,アイスキン,レディース,1
72,アイスクリーム,レディース,1
73,アイスクリーム,レディース,1
74,アイスチェインプラント,レディース,1
75,アイスバーグ,レディース,1
76,アイズビット,レディース,1
77,アイズビットガーディアン,レディース,1
78,アイ ダブリュ シー,レディース,1
79,アイネア,レディース,1
80,アイノウ,レディース,1
81,アイバイオプティチュード,レディース,1
82,アイパ,レディース,1
83,アイファニー,レディース,1
84,アイフォリア,レディース,1
85,アイボリーコート,レディース,1
86,アイモハ,レディース,1
87,アイラ,レディース,1
88,アイラバンビーナ,レディース,1
89,アイランドスリッパ,レディース,1
90,アイリーベリー,レディース,1
91,アイリス,レディース,1
92,アイリッシュ,レディース,1
93,アイリプサス,レディース,1
94,アイロニー,レディース,1
95,アインシュリット,レディース,1
96,アインソフ,レディース,1
97,アヴァランチ,レディース,1
98,アヴァンリリィ,レディース,1
99,アウィーエフ,レディース,1
100,アヴィレックス,レディース,1
101,アウェイク,レディース,1
102,アヴェダ,レディース,1
103,アヴォイド,レディース,1
104,アウトキャスト,レディース,1
105,アウトドアプロダクツ,レディース,1
106,アウトドアプロダクツアパレル,レディース,1
107,アウトドアリサーチ,レディース,1
108,アウトレットシューズセレクト,レディース,1
109,アウラ,レディース,1
110,アウラ アイラ,レディース,1
111,アウリィ,レディース,1
112,アヴリルガウ,レディース,1
113,アエロナウティカミリターレ,レディース,1
114,アオキ,レディース,1
115,アオキユリ,レディース,1
116,アカクラ,レディース,1
117,アカデミクス,レディース,1
118,アカネウツノミヤ,レディース,1
119,アカプルコゴールド,レディース,1
120,アガタ,レディース,1
121,アガット,レディース,1
122,アガット アディション,レディース,1
123,アガット クラシック,レディース,1
124,アガット ファースト,レディース,1
125,アキュート,レディース,1
126,アキラーノリモンディ,レディース,1
127,アクアガール,レディース,1
128,アクアガールコスメティクス,レディース,1
129,アクアシャボン,レディース,1
130,アクアスキュータム,レディース,1
131,アクアネーム,レディース,1
132,アクアブルー,レディース,1
133,アクイラーノリモンディ,レディース,1
134,アクータ,レディース,1
135,アクサラ,レディース,1
136,アクシーズファム,レディース,1
137,アクセサライズ,レディース,1
138,アクセサリーズブラッサム,レディース,1
139,アクセンチュアル,レディース,1
140,アクチュアリー,レディース,1
141,アクト,レディース,1
142,アクネ,レディース,1
143,アクネストゥディオズ,レディース,1
144,アクメファニチャー,レディース,1
145,アクリス,レディース,1
146,アクリスプント,レディース,1
147,アグ,レディース,1
148,アグ オーストラリア,レディース,1
149,アグノスト,レディース,1
150,アグリー,レディース,1
151,アグリサギモリ,レディース,1
152,アグロナチュラ,レディース,1
153,アケリコ,レディース,1
154,アゲインスト,レディース,1
155,アゲインストマイキラー,レディース,1
156,アコバルト,レディース,1
157,アコモデ,レディース,1
158,アゴスト,レディース,1
159,アゴストショップ,レディース,1
160,アサシン,レディース,1
161,アザー,レディース,1
162,アザーカラーズプロジェクト,レディース,1
163,アザッカ,レディース,1
164,アザロ,レディース,1
165,アシーナニューヨーク,レディース,1
166,アシール,レディース,1
167,アシックス,レディース,1
168,あしながおじさん,レディース,1
169,アジリティー,レディース,1
170,アジリティーアッファ,レディース,1
171,アジリティービゾン,レディース,1
172,アジリティープロ,レディース,1
173,アストラット,レディース,1
174,アストリアオディール,レディース,1
175,アストロノミー,レディース,1
176,アスビー,レディース,1
177,アスプレイ,レディース,1
178,アスレタ,レディース,1
179,アズイズ,レディース,1
180,アズヴィーナス,レディース,1
181,アズール,レディース,1
182,アズールバイマウジー,レディース,1
183,アズディンアライア,レディース,1
184,アズノゥアズドゥバズ,レディース,1
185,アズノゥアズピンキー,レディース,1
186,アズノウアズ,レディース,1
187,アタオ,レディース,1
188,アタガール,レディース,1
189,アタッチメント,レディース,1
190,アダバット,レディース,1
191,アダプト,レディース,1
192,アダマイト,レディース,1
193,アダム,レディース,1
194,アダム エ ロペ,レディース,1
195,アダムキメル,レディース,1
196,アダワス,レディース,1
197,あちゃちゅむ,レディース,1
198,アッカ,レディース,1
199,アッシュ,レディース,1
200,アッシュ&amp;ダイヤモンド,レディース,1
201,アッシュペーフランス,レディース,1
202,アッソブ,レディース,1
203,アットラスト,レディース,1
204,アッパーハイツ,レディース,1
205,アップスタート,レディース,1
206,アップタイト,レディース,1
207,アップルバム,レディース,1
208,アツギ,レディース,1
209,アッシュ スタンダード,レディース,1
210,アツロウ タヤマ,レディース,1
211,アティース,レディース,1
212,アテヴァネッサブリューノ,レディース,1
213,アテストーニ,レディース,1
214,アテナデザイン,レディース,1
215,アディアキブラ,レディース,1
216,アディアム,レディース,1
217,アディクティブ,レディース,1
218,アディクト,レディース,1
219,アディダス,レディース,1
220,アディダス オリジナルス,レディース,1
221,アディダスバイジェレミースコット,レディース,1
222,アディダスバイステラマッカートニー,レディース,1
223,アディッションアデライデ,レディース,1
224,アデデ,レディース,1
225,アデュー トリステス,レディース,1
226,アデュートリステス　ロワズィール,レディース,1
227,アトウ,レディース,1
228,アトモスガール,レディース,1
229,アトモスガールズ,レディース,1
230,アトモスフィア,レディース,1
231,アトランティックスターズ,レディース,1
232,アトリエ サブ,レディース,1
233,アトリエ シックス,レディース,1
234,アトリエ ドゥ サボン,レディース,1
235,アトリエブルージュ,レディース,1
236,アトリエ ボズ,レディース,1
237,アトリエメルカダル,レディース,1
238,アドーア,レディース,1
239,アドニシス,レディース,1
240,アドニスグリーン,レディース,1
241,アドバンテージサイクル,レディース,1
242,アドポーション,レディース,1
243,アドミラル,レディース,1
244,アドリー,レディース,1
245,アドルフ,レディース,1
246,アナーキックアジャストメント,レディース,1
247,アナイ,レディース,1
248,アナキ,レディース,1
249,アナザー エディション,レディース,1
250,アナザーヘブン,レディース,1
251,アナスイ,レディース,1
252,アナスイミニ,レディース,1
253,アナック,レディース,1
254,アナップ,レディース,1
255,アナップ ミンピ,レディース,1
256,アナップ ラティーナ,レディース,1
257,アナディス,レディース,1
258,アナトミカ,レディース,1
259,アナトリエ,レディース,1
260,アナナ,レディース,1
261,アナログクロージング,レディース,1
262,アナログライティング,レディース,1
263,アニアリ,レディース,1
264,アニータコー,レディース,1
265,アニエス ベー ボヤージュ,レディース,1
266,アニエスベー,レディース,1
267,アニオナ,レディース,1
268,アニックグタール,レディース,1
269,アニモ,レディース,1
270,アニヤ ハインドマーチ,レディース,1
271,アニュー,レディース,1
272,アヌン,レディース,1
273,アネコノミ,レディース,1
274,アネモネ,レディース,1
275,アネロ,レディース,1
276,アノーカ,レディース,1
277,アノニムクラフツマンデザイン,レディース,1
278,アバクロンビー&amp;フィッチ,レディース,1
279,アバッグオブチップス,レディース,1
280,アバハウス,レディース,1
281,アバハウスドゥヴィネット,レディース,1
282,アパートバイローリーズ,レディース,1
283,アパートメントマーケット,レディース,1
284,アパルトモン,レディース,1
285,アパルトモンドゥーズィエムクラス,レディース,1
286,アビィ,レディース,1
287,アビエニア,レディース,1
288,アビラピンク,レディース,1
289,アビリティ,レディース,1
290,アピアナ,レディース,1
291,アピヴィータ,レディース,1
292,アフェンズ,レディース,1
293,アフターザレイン,レディース,1
294,アフターベース,レディース,1
295,アフタヌーンティー,レディース,1
296,アフリカタロウ,レディース,1
297,アブストライズ,レディース,1
298,アブソール,レディース,1
299,アプレ,レディース,1
300,アプレイウィズハッピーエンディング,レディース,1
301,アプレジュール,レディース,1
302,アプレレクール,レディース,1
303,アプワイザー リッシェ,レディース,1
304,アプワイザーリュクス,レディース,1
305,アベイシングエイプ,レディース,1
306,アベイル,レディース,1
307,アベックモデレーション,レディース,1
308,アベニールエトワール,レディース,1
309,アホープヘンプ,レディース,1
310,アボンタージュ,レディース,1
311,アマート,レディース,1
312,アマカ,レディース,1
313,アマダナ,レディース,1
314,アマベル,レディース,1
315,アマンアンドシロー,レディース,1
316,アマンダウェイクリー,レディース,1
317,アミ,レディース,1
318,アミアミ,レディース,1
319,アミウ,レディース,1
320,アミティエ,レディース,1
321,アミ ドゥ パ,レディース,1
322,アミモック,レディース,1
323,アムグリン,レディース,1
324,アメーバマーズ,レディース,1
325,アメメ,レディース,1
326,アメリヴィンテージ,レディース,1
327,アメリエルマジェスティックレゴン,レディース,1
328,アメリカーナ,レディース,1
329,アメリカン アパレル,レディース,1
330,アメリカン イーグル,レディース,1
331,アメリカンスラッシュ,レディース,1
332,アメリカン ツーリスター,レディース,1
333,アメリカンホリック,レディース,1
334,アメリカン ラグ シー,レディース,1
335,アメリカンレトロ,レディース,1
336,アモスタイル,レディース,1
337,アモラスインセンス,レディース,1
338,アモリコ,レディース,1
339,アヤメ,レディース,1
340,アユイテ,レディース,1
341,アユーラ,レディース,1
342,アラ,レディース,1
343,アライア,レディース,1
344,アライサラ,レディース,1
345,アライブアスレティックス,レディース,1
346,アラヴォン,レディース,1
347,アラウンドザシューズ,レディース,1
348,アラカザム,レディース,1
349,アラスカングース,レディース,1
350,アラバマ,レディース,1
351,アラマンダ,レディース,1
352,ア ラ モード マルシェ,レディース,1
353,アランミクリ,レディース,1
354,アランヨウルノ,レディース,1
355,アリアカンパニー,レディース,1
356,アリーアンドダイア,レディース,1
357,アリーナ,レディース,1
358,アリエス,レディース,1
359,アリエルデピント,レディース,1
360,アリシアアダムスアルパカ,レディース,1
361,アリシアスタン,レディース,1
362,アリス+オリビア,レディース,1
363,アリス アウアア,レディース,1
364,アリス アンド ザ パイレーツ,レディース,1
365,アリスバーリー,レディース,1
366,アリスマッコール,レディース,1
367,アリゾナ,レディース,1
368,アリゾナ フリーダム,レディース,1
369,アリマ,レディース,1
370,アルアバイル,レディース,1
371,アルージュ,レディース,1
372,アルカリ,レディース,1
373,アルコレッタパドローネ,レディース,1
374,アルゴンキン,レディース,1
375,アル シーヴ,レディース,1
376,アルジー,レディース,1
377,アルセラピィ,レディース,1
378,アルソマーズ,レディース,1
379,アルチビオ,レディース,1
380,アルチュザラ,レディース,1
381,アルテア,レディース,1
382,アルティオリ,レディース,1
383,アルティザン,レディース,1
384,アルティザン&amp;アーティスト,レディース,1
385,アルティネロ,レディース,1
386,アルテポーヴェラ,レディース,1
387,アルディーノアール,レディース,1
388,アル ディ ラ,レディース,1
389,アルド,レディース,1
390,アルバトロス,レディース,1
391,アルバローザ,レディース,1
392,アルビオン,レディース,1
393,アルファ インダストリーズ,レディース,1
394,アルファ キュービック,レディース,1
395,アルファヌメリック,レディース,1
396,アルファベット アルファベット,レディース,1
397,アルファンゴ,レディース,1
398,アルフレッドサージェント,レディース,1
399,アルフレッドバニスター,レディース,1
400,アルブム,レディース,1
401,アルベルタ フェレッティ,レディース,1
402,アルベルトフェルマーニ,レディース,1
403,アルベロベロ,レディース,1
404,アルページュ,レディース,1
405,アルマーニ,レディース,1
406,アルマーニ ジュニア,レディース,1
407,アルマーニ エクスチェンジ,レディース,1
408,アルマーニコレツォーニ,レディース,1
409,アルマーニ ジーンズ,レディース,1
410,アルミュール,レディース,1
