id,name,parent_id
1,レディース,1
2,トップス,1-1
3,Tシャツ/カットソー(半袖/袖なし),1-1-1
4,Tシャツ/カットソー(七分/長袖),1-1-2
5,シャツ/ブラウス(半袖/袖なし),1-1-3
6,シャツ/ブラウス(七分/長袖),1-1-4
7,ポロシャツ,1-1-5
8,キャミソール,1-1-6
9,タンクトップ,1-1-7
10,ホルターネック,1-1-8
11,ニット/セーター,1-1-9
12,チュニック,1-1-10
13,カーディガン/ボレロ,1-1-11
14,アンサンブル,1-1-12
15,ベスト/ジレ,1-1-13
16,パーカー,1-1-14
17,トレーナー/スウェット,1-1-15
18,ベアトップ/チューブトップ,1-1-16
19,ジャージ,1-1-17
20,その他,1-1-18
21,ジャケット/アウター,1-2
22,テーラードジャケット,1-2-1
23,ノーカラージャケット,1-2-2
24,Gジャン/デニムジャケット,1-2-3
25,レザージャケット,1-2-4
26,ダウンジャケット,1-2-5
27,ライダースジャケット,1-2-6
28,ミリタリージャケット,1-2-7
29,ダウンベスト,1-2-8
30,ジャンパー/ブルゾン,1-2-9
31,ポンチョ,1-2-10
32,ロングコート,1-2-11
33,トレンチコート,1-2-12
34,ダッフルコート,1-2-13
35,ピーコート,1-2-14
36,チェスターコート,1-2-15
37,モッズコート,1-2-16
38,スタジャン,1-2-17
39,毛皮/ファーコート,1-2-18
40,スプリングコート,1-2-19
41,スカジャン,1-2-20
42,その他,1-2-21
43,パンツ,1-3
44,デニム/ジーンズ,1-3-1
45,ショートパンツ,1-3-2
46,カジュアルパンツ,1-3-3
47,ハーフパンツ,1-3-4
48,チノパン,1-3-5
49,ワークパンツ/カーゴパンツ,1-3-6
50,クロップドパンツ,1-3-7
51,サロペット/オーバーオール,1-3-8
52,オールインワン,1-3-9
53,サルエルパンツ,1-3-10
54,ガウチョパンツ,1-3-11
55,その他,1-3-12
56,スカート,1-4
57,ミニスカート,1-4-1
58,ひざ丈スカート,1-4-2
59,ロングスカート,1-4-3
60,キュロット,1-4-4
61,その他,1-4-5
62,ワンピース,1-5
63,ミニワンピース,1-5-1
64,ひざ丈ワンピース,1-5-2
65,ロングワンピース,1-5-3
66,その他,1-5-4
67,靴,1-6
68,ハイヒール/パンプス,1-6-1
69,ブーツ,1-6-2
70,サンダル,1-6-3
71,スニーカー,1-6-4
72,ミュール,1-6-5
73,モカシン,1-6-6
74,ローファー/革靴,1-6-7
75,フラットシューズ/バレエシューズ,1-6-8
76,長靴/レインシューズ,1-6-9
77,その他,1-6-10
78,ルームウェア/パジャマ,1-7
79,パジャマ,1-7-1
80,ルームウェア,1-7-2
81,レッグウェア,1-8
82,ソックス,1-8-1
83,スパッツ/レギンス,1-8-2
84,ストッキング/タイツ,1-8-3
85,レッグウォーマー,1-8-4
86,その他,1-8-5
87,帽子,1-9
88,ニットキャップ/ビーニー,1-9-1
89,ハット,1-9-2
90,ハンチング/ベレー帽,1-9-3
91,キャップ,1-9-4
92,キャスケット,1-9-5
93,麦わら帽子,1-9-6
94,その他,1-9-7
95,バッグ,1-10
96,ハンドバッグ,1-10-1
97,トートバッグ,1-10-2
98,エコバッグ,1-10-3
99,リュック/バックパック,1-10-4
100,ボストンバッグ,1-10-5
101,スポーツバッグ,1-10-6
102,ショルダーバッグ,1-10-7
103,クラッチバッグ,1-10-8
104,ポーチ/バニティ,1-10-9
105,ボディバッグ/ウェストバッグ,1-10-10
106,マザーズバッグ,1-10-11
107,メッセンジャーバッグ,1-10-12
108,ビジネスバッグ,1-10-13
109,旅行用バッグ/キャリーバッグ,1-10-14
110,ショップ袋,1-10-15
111,和装用バッグ,1-10-16
112,かごバッグ,1-10-17
